H,L,Lf,V,MV
6.5,15,15,1165.4,993.0035503
6.5,15,17,1212.8,1136.730888
6.5,17,5,355,88.96623738
6.5,17,7,499,175.0755308
6.5,17,9,643,290.0549948
6.5,17,11,785.3,432.9673512
6.5,17,13,927.3,604.2135747
6.5,17,15,1068.8,803.5530804
6.5,17,17,1207.2,1028.620118
7.5,5,5,800,512
7.5,5,7,993,699.072
7.5,5,9,964,342.7555556
7.5,5,11,914,265.8909091
7.5,5,13,860.3,211.7661538
7.5,5,15,809.1,172.608
7.5,5,17,761.5,143.3411765
7.5,7,5,677,309.4857143
7.5,7,7,952,609.28
7.5,7,9,1090,767.36
7.5,7,11,1063,432.9309091
7.5,7,13,1011,348.4061538
7.5,7,15,954,284.928
7.5,7,17,898.7,236.8338824
7.5,9,5,588,209.0666667
7.5,9,7,831,413.6533333
7.5,9,9,1065,681.6
7.5,9,11,1173.5,826.144
7.5,9,13,1145.9,507.7218462
7.5,9,15,1093.4,419.8656
7.5,9,17,1035.2,350.7501176
7.5,11,5,521,151.5636364
7.5,11,7,736,299.7527273
7.5,11,9,948,496.4072727
7.5,11,11,1153.9,738.496
7.5,11,13,1242.4,874.6496
7.5,11,15,1215.2,570.3338667
7.5,11,17,1163.4,481.7844706
7.5,13,5,468,115.2
7.5,13,7,662,228.1353846
7.5,13,9,852,377.5015385
7.5,13,11,1042.2,564.3913846
7.5,13,13,1226.1,784.704
7.5,13,15,1300.8,915.7632
7.5,13,17,1274.2,623.6084706
7.5,15,5,424,90.45333333
7.5,15,7,600,179.2
7.5,15,9,774,297.216
7.5,15,11,946.8,444.3648
7.5,15,13,1118.3,620.2837333
7.5,15,15,1285.6,822.784
7.5,15,17,1350.3,950.6112
7.5,17,5,390,73.41176471
7.5,17,7,551,145.2047059
7.5,17,9,710,240.5647059
7.5,17,11,868.6,359.7025882
7.5,17,13,1026.1,502.1854118
7.5,17,15,1182.9,667.9905882
7.5,17,17,1336,855.04
8.5,5,5,835,416.0553633
8.5,5,7,1086,595.233218
8.5,5,9,1064,294.532872
8.5,5,11,1018,230.5630701
8.5,5,13,967,185.3180729
8.5,5,15,915.5,152.0553633
8.5,5,17,867.1,127.0734785
8.5,7,5,715,254.4735541
8.5,7,7,1013,504.7474048
8.5,7,9,1189,651.6871972
8.5,7,11,1170,370.9845863
8.5,7,13,1122.6,301.1926537
8.5,7,15,1067.4,248.1982007
8.5,7,17,1012,207.6319967
8.5,9,5,624,172.733564
8.5,9,7,889,344.5259516
8.5,9,9,1142,569.0242215
8.5,9,11,1279.5,701.2899654
8.5,9,13,1260.4,434.7826457
8.5,9,15,1212.2,362.4016609
